id,mild_injuries,serious_injuries,victims,vehicles_involved,longitude,latitude,date
2017S000761,0,0,0,2,2.1059099999999997,41.394959,2017-01-28 19:00:00
2017S009226,0,0,0,1,2.107457,41.390219,2017-11-08 10:00:00
2017S003590,2,0,2,2,2.1442900000000003,41.428936,2017-04-21 17:00:00
2017S001908,2,0,2,2,2.1093319999999998,41.385040999999994,2017-03-08 19:00:00
2017S003772,2,0,2,2,2.1148279999999997,41.396307,2017-04-27 23:00:00
2017S000787,1,0,1,3,2.108318,41.390551,2017-01-30 09:00:00
2017S006609,1,0,1,3,2.136052,41.399961,2017-07-29 19:00:00
2017S004338,1,0,1,2,2.116526,41.391799,2017-05-16 09:00:00
2017S005449,1,0,1,3,2.1150729999999998,41.378726,2017-06-21 15:00:00
2017S001442,1,0,1,2,2.123275,41.387282,2017-02-21 13:00:00
2017S002157,1,0,1,2,2.117048,41.385690999999994,2017-03-17 14:00:00
2017S000989,1,0,1,1,2.12664,41.388768,2017-02-06 10:00:00
2017S007908,1,0,1,2,2.107282,41.38662,2017-09-24 14:00:00
2017S004213,2,0,2,3,2.110293,41.377492,2017-05-12 08:00:00
2017S000179,1,0,1,2,2.12708,41.391821,2017-01-08 21:00:00
2017S006621,1,0,1,2,2.108613,41.384014,2017-07-30 15:00:00
2017S003324,3,0,3,2,2.106528,41.382695,2017-04-12 00:00:00
2017S002368,1,0,1,2,2.123275,41.387282,2017-03-24 14:00:00
2017S005837,1,0,1,2,2.126208,41.389972,2017-07-05 10:00:00
2017S008347,0,0,0,2,2.1294299999999997,41.39048,2017-10-10 09:00:00
2017S007883,1,0,1,2,2.124823,41.388974,2017-09-23 15:00:00
2017S000886,2,0,2,1,2.106528,41.382695,2017-02-02 03:00:00
2017S007786,1,0,1,2,2.112397,41.386385,2017-09-20 18:00:00
2017S006515,1,0,1,1,2.12607,41.387545,2017-07-26 12:00:00
2017S008330,1,0,1,1,2.117027,41.38535,2017-10-09 16:00:00
2017S003592,1,0,1,2,2.117048,41.385690999999994,2017-04-21 16:00:00
2017S004975,1,0,1,2,2.1120650000000003,41.38445,2017-06-07 09:00:00
2017S002116,1,0,1,1,2.123326,41.390889,2017-03-16 13:00:00
2017S002078,0,0,0,1,2.1243220000000003,41.388126,2017-03-15 09:00:00
2017S000739,0,0,0,2,2.1085990000000003,41.38877,2017-01-28 04:00:00
2017S002573,1,0,1,2,2.110974,41.377272999999995,2017-03-31 09:00:00
2017S000336,3,0,3,2,2.111999,41.389806,2017-01-13 13:00:00
2017S007937,1,0,1,2,2.1199169999999996,41.381227,2017-09-26 09:00:00
2017S005098,1,0,1,2,2.122489,41.385236,2017-06-10 17:00:00
2017S005744,1,0,1,1,2.122488,41.384440999999995,2017-07-02 19:00:00
2017S007917,1,0,1,2,2.1223099999999997,41.385531,2017-09-24 22:00:00
2017S006260,1,0,1,2,2.123275,41.387282,2017-07-18 09:00:00
2017S003354,0,0,0,1,2.118011,41.383264000000004,2017-04-12 19:00:00
2017S003713,1,0,1,2,2.107841,41.38302,2017-04-26 10:00:00
2017S001689,1,0,1,2,2.145588,41.401814,2017-03-01 14:00:00
2017S010724,1,0,1,2,2.145679,41.399073,2017-12-28 14:00:00
2017S009699,1,0,1,2,2.1394610000000003,41.403648,2017-11-22 08:00:00
2017S002160,2,0,2,2,2.145436,41.397339,2017-03-17 16:00:00
2017S010216,1,0,1,1,2.152873,41.398359,2017-12-09 14:00:00
2017S006637,1,0,1,2,2.145702,41.402118,2017-07-31 09:00:00
2017S010156,1,0,1,2,2.145377,41.402302,2017-12-05 13:00:00
2017S004996,1,0,1,2,2.144653,41.40266,2017-06-07 21:00:00
2017S000443,1,0,1,1,2.154065,41.39767,2017-01-17 10:00:00
2017S001550,1,0,1,2,2.153258,41.398464000000004,2017-02-24 19:00:00
2017S001349,1,0,1,2,2.14605,41.399065,2017-02-17 19:00:00
2017S003595,1,0,1,2,2.150741,41.39683,2017-04-22 06:00:00
2017S000036,1,0,1,2,2.144837,41.399892,2017-01-02 19:00:00
2017S001872,1,0,1,2,2.143543,41.399252000000004,2017-03-07 13:00:00
2017S001833,3,0,3,1,2.149398,41.400641,2017-03-06 10:00:00
2017S005262,1,0,1,1,2.15155,41.396096,2017-06-16 04:00:00
2017S000339,1,0,1,2,2.150008,41.394369,2017-01-13 17:00:00
2017S000360,1,0,1,1,2.151637,41.397653999999996,2017-01-14 14:00:00
2017S008915,4,0,4,2,2.1474919999999997,41.400321000000005,2017-10-28 00:00:00
2017S004057,1,0,1,2,2.140721,41.40442,2017-05-08 08:00:00
2017S004101,1,0,1,1,2.13713,41.397075,2017-05-09 09:00:00
2017S006343,2,0,2,3,2.148733,41.394049,2017-07-20 16:00:00
2017S008782,1,0,1,2,2.1480099999999998,41.393864,2017-10-24 07:00:00
2017S008265,1,0,1,2,2.1383349999999997,41.394704,2017-10-06 17:00:00
2017S008908,1,0,1,1,2.1474759999999997,41.394789,2017-10-27 18:00:00
2017S003585,1,0,1,2,2.139379,41.396888,2017-04-21 19:00:00
2017S005514,1,0,1,2,2.144222,41.393031,2017-06-23 22:00:00
2017S009086,1,0,1,2,2.149148,41.394517,2017-11-03 16:00:00
2017S005389,1,0,1,2,2.1449849999999997,41.392860999999996,2017-06-20 07:00:00
2017S003888,1,0,1,2,2.142702,41.392693,2017-05-02 17:00:00
2017S000250,1,0,1,2,2.139719,41.400542,2017-01-11 11:00:00
2017S009236,2,0,2,3,2.142557,41.39542,2017-11-08 14:00:00
2017S002044,2,0,2,1,2.138633,41.392998999999996,2017-03-14 09:00:00
2017S006974,1,0,1,2,2.137273,41.3953,2017-08-14 16:00:00
2017S004169,2,0,2,2,2.136469,41.396326,2017-05-10 20:00:00
2017S006818,1,0,1,2,2.136469,41.396326,2017-08-07 13:00:00
2017S007752,1,0,1,2,2.1344279999999998,41.395425,2017-09-19 15:00:00
2017S001309,1,0,1,2,2.13741,41.397785,2017-02-16 19:00:00
2017S009314,1,1,2,2,2.135192,41.395819,2017-11-10 16:00:00
2017S004919,2,0,2,2,2.145209,41.397363,2017-06-04 23:00:00
2017S006842,1,0,1,2,2.144099,41.398340999999995,2017-08-08 13:00:00
2017S009992,2,0,2,2,2.1366,41.394189000000004,2017-11-30 15:00:00
2017S007657,2,0,2,2,2.1471169999999997,41.394339,2017-09-15 21:00:00
2017S007339,1,0,1,1,2.149498,41.394331,2017-09-02 06:00:00
2017S004201,1,0,1,1,2.1402919999999996,41.393419,2017-05-11 20:00:00
2017S000662,0,0,0,2,2.145327,41.395897,2017-01-24 16:00:00
2017S008615,3,0,3,1,2.1394290000000002,41.391866,2017-10-19 09:00:00
2017S005096,1,0,1,2,2.138825,41.391215,2017-06-10 13:00:00
2017S001834,1,0,1,2,2.1344279999999998,41.395425,2017-03-06 10:00:00
